Frame Index ,Area (microns^2) ,Centroid X (microns) ,Centroid Y (microns) ,Width (microns) ,Height (microns) ,Aspect Ratio ,Solidity
        106 ,      81013500.0 ,                 650 ,                2030 ,            510 ,             800 ,      0.6375 ,  0.9831
        107 ,      80478000.0 ,                 640 ,                 510 ,            520 ,             790 ,      0.6582 ,  0.9855
        110 ,      79279500.0 ,                 650 ,                1490 ,            500 ,             810 ,      0.6173 ,  0.9827
        111 ,      87541500.0 ,                 650 ,                1360 ,            520 ,             860 ,      0.6047 ,  0.9836
        112 ,      57273000.0 ,                 660 ,                1750 ,            450 ,             650 ,      0.6923 ,  0.9828
        116 ,      41667000.0 ,                 640 ,                 470 ,            350 ,             770 ,      0.4545 ,  0.7964
        117 ,      73975500.0 ,                 640 ,                1210 ,            500 ,             810 ,      0.6173 ,  0.9787
        118 ,      57604500.0 ,                 640 ,                1040 ,            490 ,             610 ,      0.8033 ,  0.9789
        119 ,      51892500.0 ,                 710 ,                2170 ,            410 ,             640 ,      0.6406 ,  0.978
        120 ,      54876000.0 ,                 690 ,                 570 ,            450 ,             640 ,      0.7031 ,  0.9795
        121 ,      51892500.0 ,                 640 ,                1890 ,            410 ,             620 ,      0.6613 ,  0.9807
        122 ,      64744500.0 ,                 600 ,                1390 ,            500 ,             660 ,      0.7576 ,  0.984
        123 ,      53116500.0 ,                 650 ,                1440 ,            440 ,             620 ,      0.7097 ,  0.9858
        125 ,      95191500.0 ,                 620 ,                1780 ,            430 ,            1330 ,      0.3233 ,  0.8286
        126 ,      97359000.0 ,                 720 ,                1070 ,            440 ,            1550 ,      0.2839 ,  0.7976
        127 ,      66453000.0 ,                 640 ,                2070 ,            460 ,             730 ,      0.6301 ,  0.9781
        128 ,      64107000.0 ,                 620 ,                 480 ,            480 ,             700 ,      0.6857 ,  0.9802
        129 ,     109140000.0 ,                 670 ,                1750 ,            510 ,            1080 ,      0.4722 ,  0.983
        130 ,      75021000.0 ,                 650 ,                 310 ,            500 ,             700 ,      0.7143 ,  0.9831
        131 ,      71578500.0 ,                 680 ,                1710 ,            550 ,             670 ,      0.8209 ,  0.9855
        132 ,      51561000.0 ,                 670 ,                 190 ,            530 ,             450 ,      1.1778 ,  0.9891
        133 ,      65458500.0 ,                 660 ,                2270 ,            490 ,             650 ,      0.7538 ,  0.9835
        134 ,      81115500.0 ,                 650 ,                 790 ,            520 ,             780 ,      0.6667 ,  0.9864
        135 ,      70227000.0 ,                 640 ,                1060 ,            520 ,             700 ,      0.7429 ,  0.982
        136 ,      80656500.0 ,                 620 ,                1550 ,            460 ,             850 ,      0.5412 ,  0.9846
        137 ,      53065500.0 ,                 620 ,                1950 ,            430 ,             630 ,      0.6825 ,  0.9809
        138 ,      50413500.0 ,                 600 ,                 340 ,            410 ,             600 ,      0.6833 ,  0.986
        139 ,      77035500.0 ,                 650 ,                1560 ,            470 ,             810 ,      0.5802 ,  0.9874
        140 ,      61072500.0 ,                 620 ,                2270 ,            480 ,             610 ,      0.7869 ,  0.9811
        141 ,      67422000.0 ,                 610 ,                 760 ,            490 ,             710 ,      0.6901 ,  0.9795
        142 ,      48144000.0 ,                 610 ,                 840 ,            400 ,             600 ,      0.6667 ,  0.9829
        144 ,      59160000.0 ,                 640 ,                1320 ,            390 ,             760 ,      0.5132 ,  0.9787
        145 ,      73465500.0 ,                 630 ,                2140 ,            450 ,             930 ,      0.4839 ,  0.8956
        146 ,     127245000.0 ,                 630 ,                 860 ,            510 ,            1360 ,      0.375  ,  0.9458
        148 ,      53703000.0 ,                 650 ,                 980 ,            410 ,             650 ,      0.6308 ,  0.9814
        149 ,      62526000.0 ,                 640 ,                2310 ,            550 ,             540 ,      1.0185 ,  0.9842
        150 ,     105748500.0 ,                 630 ,                1000 ,            560 ,             920 ,      0.6087 ,  0.9833
        151 ,      66580500.0 ,                 640 ,                2190 ,            450 ,             730 ,      0.6164 ,  0.9758
        152 ,      69768000.0 ,                 630 ,                 610 ,            460 ,             730 ,      0.6301 ,  0.9829
        153 ,      86343000.0 ,                 640 ,                1210 ,            480 ,             890 ,      0.5393 ,  0.9821
        154 ,      84481500.0 ,                 710 ,                 910 ,            600 ,             750 ,      0.8    ,  0.981
        155 ,      64413000.0 ,                 640 ,                1520 ,            480 ,             680 ,      0.7059 ,  0.9853
        156 ,      73516500.0 ,                 630 ,                2110 ,            480 ,             800 ,      0.6    ,  0.9838
        157 ,      71400000.0 ,                 610 ,                 550 ,            480 ,             760 ,      0.6316 ,  0.9855
        158 ,      80631000.0 ,                 650 ,                1580 ,            500 ,             810 ,      0.6173 ,  0.987
        161 ,      50107500.0 ,                 660 ,                2310 ,            450 ,             530 ,      0.8491 ,  0.9836
        162 ,      65560500.0 ,                 650 ,                 790 ,            490 ,             680 ,      0.7206 ,  0.9834
        163 ,      92718000.0 ,                 610 ,                1240 ,            490 ,             930 ,      0.5269 ,  0.9859
        164 ,      73057500.0 ,                 670 ,                 930 ,            530 ,             680 ,      0.7794 ,  0.9863
        165 ,      54774000.0 ,                 670 ,                 720 ,            480 ,             600 ,      0.8    ,  0.9757
        166 ,      91978500.0 ,                 670 ,                2170 ,            520 ,             820 ,      0.6341 ,  0.9865
